x,y,vx,vy,xt,yt,vxt,vyt
-2.13303, 8.58253, -1.61759, -4.91863, -2.18412, 8.56717, -1.82164, -4.86238
-2.25735, 8.33145, -1.67486, -4.92918, -2.27474, 8.32388, -1.80365, -4.87047
-2.30921, 8.09439, -1.57157, -4.9354, -2.3645, 8.0802, -1.78726, -4.87778
-2.37824, 7.87741, -1.53258, -4.90519, -2.45348, 7.83617, -1.77248, -4.8843
-2.48919, 7.62771, -1.57004, -4.91797, -2.54177, 7.59184, -1.75931, -4.89006
-2.65225, 7.39478, -1.78297, -4.85622, -2.62944, 7.34723, -1.74777, -4.89507
-2.75498, 7.13964, -1.79533, -4.8737, -2.71658, 7.10238, -1.73786, -4.89933
-2.81834, 6.90298, -1.69883, -4.89368, -2.80326, 6.85734, -1.72958, -4.90286
-2.86691, 6.6886, -1.60863, -4.86928, -2.88957, 6.61214, -1.72295, -4.90566
-2.93902, 6.46153, -1.62821, -4.82174, -2.97559, 6.36681, -1.71797, -4.90774
-2.99495, 6.22253, -1.56031, -4.82696, -3.0614, 6.12139, -1.71464, -4.90911
-3.10953, 5.97755, -1.60978, -4.83962, -3.14709, 5.87592, -1.71297, -4.90976
-3.1884, 5.70659, -1.58495, -4.88012, -3.23274, 5.63043, -1.71295, -4.9097
-3.29751, 5.46024, -1.68521, -4.85388, -3.31843, 5.38496, -1.71458, -4.90893
-3.39145, 5.2013, -1.69625, -4.87515, -3.40424, 5.13955, -1.71787, -4.90745
-3.45918, 4.95464, -1.63036, -4.89562, -3.49026, 4.89422, -1.72281, -4.90525
-3.56855, 4.68228, -1.67048, -4.93233, -3.57657, 4.64902, -1.72939, -4.90233
-3.6772, 4.4313, -1.7714, -4.90816, -3.66325, 4.40398, -1.73763, -4.89868
-3.80569, 4.16578, -1.84824, -4.9303, -3.75039, 4.15913, -1.74749, -4.8943
-3.88772, 3.92388, -1.7958, -4.94195, -3.83806, 3.91452, -1.75899, -4.88918
-3.9624, 3.68753, -1.76819, -4.92897, -3.92635, 3.67019, -1.77212, -4.8833
-4.06752, 3.47708, -1.85178, -4.85987, -4.01533, 3.42616, -1.78686, -4.87666
-4.15875, 3.23207, -1.85554, -4.86024, -4.10509, 3.18248, -1.8032, -4.86925
-4.27314, 2.98044, -1.93698, -4.8519, -4.19571, 2.93919, -1.82113, -4.86104
-4.36115, 2.70971, -1.92665, -4.88639, -4.28727, 2.69633, -1.84065, -4.85202
-4.44851, 2.45967, -1.90205, -4.89796, -4.37985, 2.45393, -1.86173, -4.84218
-4.55141, 2.19796, -1.91756, -4.91954, -4.47352, 2.21205, -1.88436, -4.83149
-4.6624, 1.96545, -2.04107, -4.86248, -4.56836, 1.97072, -1.90853, -4.81994
-4.77556, 1.69707, -2.07089, -4.89186, -4.66444, 1.72998, -1.93422, -4.80751
-4.8993, 1.45018, -2.16623, -4.86972, -4.76186, 1.48989, -1.9614, -4.79417
-4.9612, 1.21007, -2.11686, -4.85515, -4.86066, 1.25049, -1.99007, -4.7799
-5.05889, 0.987265, -2.11641, -4.82087, -4.96095, 1.01182, -2.02019, -4.76468
-5.12204, 0.749361, -2.07038, -4.80816, -5.06277, 0.77393, -2.05174, -4.74848
-5.21337, 0.462861, -2.06951, -4.86744, -5.16621, 0.536876, -2.08471, -4.73127
-5.2893, 0.219291, -2.04248, -4.8616, -5.27133, 0.300706, -2.11906, -4.71303
-5.39909, -0.0175559, -2.02241, -4.85925, -5.3782, 0.0654719, -2.15477, -4.69374
-5.47108, -0.259852, -1.98556, -4.85589, -5.4869, -0.168772, -2.1918, -4.67335
-5.59311, -0.451294, -2.07557, -4.76323, -5.59748, -0.401971, -2.23014, -4.65185
-5.73144, -0.642183, -2.17504, -4.674, -5.71001, -0.634069, -2.26974, -4.62919
-5.84619, -0.868059, -2.27832, -4.63232, -5.82456, -0.865006, -2.31058, -4.60536
